close,datetime,high,low,open,symbol,volume
0,105.51,1513144800000,107.11,105.48,106.7,JPM,15020293
1,104.66,1513231200000,106.45,104.64,106.12,JPM,13034232
2,106.14,1513317600000,106.52,105.2,105.79,JPM,29350598
3,106.96,1513576800000,107.63,106.48,107.19,JPM,12713148
4,106.51,1513663200000,107.49,106.44,107.35,JPM,12149937
5,106.14,1513749600000,107.7305,106.09,107.6,JPM,13091473
6,107.83,1513836000000,108.07,106.56,106.59,JPM,12323670
7,107.45,1513922400000,108.46,106.805,108.2,JPM,14573385
8,107.02,1514268000000,107.99,106.4,107.2,JPM,7403739
9,107.22,1514354400000,107.29,106.67,106.67,JPM,9496548
10,107.79,1514440800000,107.84,107.1601,107.4,JPM,7440555
11,106.94,1514527200000,108.28,106.94,108.09,JPM,8925701
12,107.95,1514872800000,108.02,106.8056,107.63,JPM,13578835
13,108.06,1514959200000,108.49,107.48,107.86,JPM,11901037
14,109.04,1515045600000,110.03,108.2,108.36,JPM,12953656
15,108.34,1515132000000,109.55,107.775,109.26,JPM,14154974
16,108.5,1515391200000,108.68,107.7,108.15,JPM,12466512
17,109.05,1515477600000,109.63,108.49,108.72,JPM,13292310
18,110.25,1515564000000,110.7,109.39,109.47,JPM,15834468
19,110.84,1515650400000,110.929,110.051,110.67,JPM,13676788
20,112.67,1515736800000,112.85,110.84,111.65,JPM,18884229
21,112.27,1516082400000,113.43,111.07,111.51,JPM,22703336
22,112.99,1516168800000,113.2958,111.31,111.89,JPM,14940266
23,113.26,1516255200000,113.7226,112.27,112.76,JPM,14572911
24,113.01,1516341600000,114.34,112.804,113.94,JPM,18785468
25,114.33,1516600800000,114.39,112.5,112.66,JPM,12475654
26,114.21,1516687200000,114.64,113.35,113.67,JPM,12320751
27,115.67,1516773600000,116.0,114.66,114.86,JPM,15904504
28,115.7,1516860000000,116.17,115.075,116.04,JPM,13509957
29,116.32,1516946400000,116.32,114.96,115.7,JPM,13883875
30,116.2,1517205600000,117.3529,116.02,116.02,JPM,11679919
31,115.11,1517292000000,116.6,114.98,115.53,JPM,14279124
32,115.67,1517378400000,116.66,115.16,115.65,JPM,13141423
33,116.87,1517464800000,116.985,115.48,115.77,JPM,13800613
34,114.28,1517551200000,116.92,114.09,116.49,JPM,16477307
35,108.8,1517810400000,114.59,103.98,113.0,JPM,30097591
36,112.11,1517896800000,112.48,106.61,106.85,JPM,33114833
37,112.87,1517983200000,114.45,111.146,111.55,JPM,21878324
38,107.88,1518069600000,113.11,107.84,113.11,JPM,27425837
39,110.04,1518156000000,111.05,106.2299,109.1,JPM,28188027
